304  0.365 0.205 0.125 0.055 0.060 0.035 0.03 0.125 0.000
323  0.374 0.210 0.124 0.055 0.060 0.035 0.03 0.000 0.112
454  0.432 0.243 0.120 0.055 0.060 0.035 0.00 0.000 0.055
461  0.435 0.245 0.120 0.055 0.060 0.035 0.00 0.000 0.050
504  0.384 0.270 0.126 0.079 0.026 0.000 0.00 0.000 0.115
537  0.345 0.290 0.130 0.098 0.000 0.000 0.00 0.000 0.137
556  0.356 0.230 0.225 0.109 0.000 0.000 0.00 0.000 0.080
573  0.365 0.270 0.216 0.119 0.000 0.000 0.00 0.000 0.030
584  0.306 0.330 0.210 0.125 0.000 0.000 0.00 0.000 0.030
598  0.230 0.295 0.375 0.058 0.000 0.000 0.00 0.000 0.045
610  0.235 0.385 0.305 0.000 0.000 0.000 0.00 0.000 0.075
637  0.245 0.350 0.370 0.000 0.000 0.000 0.00 0.000 0.036
645  0.340 0.305 0.330 0.000 0.000 0.000 0.00 0.000 0.025
652  0.270 0.385 0.345 0.000 0.000 0.000 0.00 0.000 0.000
684  0.482 0.518 0.000 0.000 0.000 0.000 0.00 0.000 0.000
704  0.675 0.325 0.000 0.000 0.000 0.000 0.00 0.000 0.000
720  0.565 0.435 0.000 0.000 0.000 0.000 0.00 0.000 0.000
737  0.565 0.435 0.000 0.000 0.000 0.000 0.00 0.000 0.000
774  1.000 0.000 0.000 0.000 0.000 0.000 0.00 0.000 0.000
1026 1.000 0.000 0.000 0.000 0.000 0.000 0.00 0.000 0.000

