210 .271 .275 .110 .064 .278
240 .271 .345 .110 .064 .210
280 .271 .470 .095 .040 .124
300 .271 .470 .110 .074 .075
332 .300 .520 .120 .060 .000
428 .460 .460 .080 .000 .000
500 .404 .506 .090 .000 .000
600 .308 .589 .103 .000 .000
660 .308 .589 .103 .000 .000
660.01 .308 .692 .0 .000 .000
720 .420 .580 .000 .000 .000
747 1.00 .000 .000 .000 .000
796 1.00 .000 .000 .000 .000
