911.00   0.15
910.50	 0.70
910.00	 1.15
909.80	 2.45
907.50	 2.75
905.00	 2.75
900.00	 2.85
895.00	 2.75
890.00	 2.70
885.00	 2.85
870.00	 3.10
865.00	 3.10
860.00	 3.10
855.00	 3.10
850.00	 3.20
845.00	 3.25
840.00	 3.30
835.00	 3.30
830.00	 3.30
825.00	 3.30
785.00	 3.70
780.00	 3.70
765.00	 4.00
760.22	 4.06
760.0	 3.90
752.3	 4.15
732.2	 8.03
730.6	 8.40
729.0	 9.17
727.5	 8.90
722.5	 9.02
720.9	 8.91
720.0	 9.00
719.2	 9.00
717.6	 8.79
715.7	 9.24
714.1	 9.18
712.5	 9.26
710.8	 9.30
710.0	 9.15
709.2	 9.71
707.6	 9.88
705.9	 9.71
705.0	 9.60
695.3	 9.06
693.8	 9.00
692.5	 9.60
692.2	 9.51
690.6	 9.47
690.0	 9.80
683.9	 9.25
683.0	 9.65
682.8	 9.69
677.5	 10.0
665.3	 12.0
660	 12.6
650	 13.0
640	 13.3
630	 13.4
620	 13.4
610	 13.4
600	 13.3
590	 13.2
580	 13.0
570	 12.9
560	 12.7
550	 12.5
540	 12.3
530	 12.1
520	 12.0
510	 11.9
500	 11.9
490	 12.0
430	 11.5
420	 11.3
410	 11.0
400	 11.8
390	 10.5
380	 10.2
370	 9.90
360	 9.57
350	 9.25
340	 8.92
330	 8.60
320	 8.25
310	 7.90
303.8	 7.70
300	 7.55
290	 7.40
280	 6.85
270	 6.50
260	 6.15
254.402  6.00 
248.0	 5.75 
206.6	 4.25 
177.1	 3.20 
155.0	 2.37 
137.8	 1.84 
124.0	 1.44 
112.7	 1.20 
103.3	 1.01 
95.4	 0.86 
88.6	 0.72 
82.7	 0.62 
77.5	 0.52 
72.9	 0.45 
68.9	 0.39 
65.3	 0.33 
62.0	 0.286
59.0	 0.250
56.4	 0.220
53.9	 0.197
51.7	 0.180
49.6	 0.168
47.7	 0.161
45.9	 0.154
44.3	 0.150


























